Date,Open,High,Low,Close,Adj Close,Volume
2017-07-10,19.799999,20.389999,19.799999,20.370001,20.370001,1753616
2017-07-11,20.450001,20.930000,20.410000,20.760000,20.760000,1640682
2017-07-12,20.799999,20.900000,20.330000,20.799999,20.799999,1511504
2017-07-13,20.730000,20.870001,20.450001,20.840000,20.840000,877030
2017-07-14,20.680000,20.900000,20.580000,20.610001,20.610001,608558
2017-07-17,20.459999,20.500000,19.990000,20.080000,20.080000,1185941
2017-07-18,20.049999,20.280001,20.000000,20.200001,20.200001,657995
2017-07-19,20.219999,20.299999,19.870001,19.910000,19.910000,909797
2017-07-20,19.950001,20.059999,19.790001,19.879999,19.879999,631140
2017-07-21,19.760000,19.860001,19.040001,19.059999,19.059999,1201981
2017-07-24,19.010000,19.459999,18.990000,19.020000,19.020000,689811
2017-07-25,19.059999,19.360001,19.059999,19.280001,19.280001,633438
2017-07-26,19.340000,19.379999,18.930000,18.969999,18.969999,774653
2017-07-27,19.049999,19.190001,18.639999,18.799999,18.799999,1334192
2017-07-28,18.709999,19.120001,18.639999,19.040001,19.040001,756383
2017-07-31,19.190001,19.969999,19.190001,19.830000,19.830000,1407441
2017-08-01,22.000000,22.250000,21.049999,21.740000,21.740000,4715922
2017-08-02,22.129999,22.250000,20.620001,20.879999,20.879999,4947484
2017-08-03,20.799999,21.750000,20.799999,21.500000,21.500000,3281850
2017-08-04,21.620001,21.830000,21.490000,21.670000,21.670000,1064273
2017-08-08,21.660000,22.150000,21.629999,21.930000,21.930000,1850931
2017-08-09,21.860001,22.160000,21.799999,22.139999,22.139999,1415834
2017-08-10,22.049999,22.230000,21.730000,21.780001,21.780001,1723576
2017-08-11,21.500000,22.139999,21.500000,22.110001,22.110001,1013823
2017-08-14,22.139999,23.090000,22.100000,22.910000,22.910000,1888397
2017-08-15,23.020000,23.120001,22.690001,22.889999,22.889999,1288599
2017-08-16,22.969999,23.010000,22.730000,22.760000,22.760000,2855005
2017-08-17,22.670000,23.020000,22.500000,22.670000,22.670000,2434958
2017-08-18,22.490000,22.530001,22.120001,22.450001,22.450001,1119879
2017-08-21,22.490000,22.940001,22.490000,22.879999,22.879999,1367516
2017-08-22,22.940001,23.110001,22.785000,23.040001,23.040001,1363335
2017-08-23,23.040001,23.950001,22.980000,23.920000,23.920000,2110783
2017-08-24,23.900000,23.990000,22.969999,23.250000,23.250000,2278718
2017-08-25,23.370001,23.600000,23.150000,23.290001,23.290001,1108162
2017-08-28,23.330000,23.379999,22.860001,23.010000,23.010000,894982
2017-08-29,22.799999,23.469999,22.740000,23.170000,23.170000,1301674
2017-08-30,23.219999,23.490000,23.180000,23.290001,23.290001,1183328
2017-08-31,23.209999,23.610001,23.180000,23.340000,23.340000,1393525
2017-09-01,23.240000,23.299999,22.959999,23.240000,23.240000,850125
2017-09-05,23.190001,23.190001,22.080000,22.650000,22.650000,1364385
2017-09-06,22.730000,22.889999,22.200001,22.330000,22.330000,1509130
2017-09-07,22.299999,22.834999,22.299999,22.770000,22.770000,1253414
2017-09-08,22.690001,22.879999,22.020000,22.080000,22.080000,1336715
2017-09-11,22.070000,22.540001,21.799999,22.459999,22.459999,1577906
2017-09-12,22.639999,23.620001,22.600000,23.540001,23.540001,1703279
2017-09-13,23.500000,23.980000,23.110001,23.590000,23.590000,1416394
2017-09-14,23.500000,23.889999,23.270000,23.809999,23.809999,1635707
2017-09-15,23.799999,24.969999,23.580000,24.290001,24.290001,2556374
2017-09-18,24.150000,24.270000,23.520000,23.650000,23.650000,2384400
2017-09-19,24.000000,24.270000,23.080000,23.330000,23.330000,2381087
2017-09-20,24.000000,25.920000,24.000000,25.840000,25.840000,4327653
2017-09-21,26.100000,26.480000,25.360001,26.400000,26.400000,3399085
2017-09-22,26.280001,27.680000,26.160000,27.510000,27.510000,3819844
2017-09-25,27.400000,27.500000,25.469999,25.500000,25.500000,4153263
2017-09-26,25.639999,25.790001,25.170000,25.540001,25.540001,1811018
2017-09-27,25.510000,26.620001,25.459999,26.480000,26.480000,2434581
2017-09-28,26.360001,26.820000,26.129999,26.610001,26.610001,1227151
2017-09-29,26.559999,26.840000,26.190001,26.240000,26.240000,1322065
2017-10-02,26.230000,26.740000,25.980000,26.379999,26.379999,1030539
2017-10-03,26.490000,26.840000,26.420000,26.459999,26.459999,1867714
2017-10-04,26.500000,26.520000,26.000000,26.049999,26.049999,1359725
2017-10-05,26.100000,26.940001,26.080000,26.730000,26.730000,1809949
2017-10-06,26.719999,26.920000,26.450001,26.690001,26.690001,873502
2017-10-10,26.740000,27.660000,26.730000,27.230000,27.230000,1791133
2017-10-11,27.379999,28.049999,27.379999,27.920000,27.920000,1645723
2017-10-12,28.100000,28.700001,27.725000,27.760000,27.760000,1480526
2017-10-13,28.150000,28.150000,26.799999,27.700001,27.700001,1690967
2017-10-16,27.750000,27.750000,27.280001,27.440001,27.440001,745932
2017-10-17,27.100000,27.480000,26.855000,27.070000,27.070000,1067395
2017-10-18,27.170000,27.270000,26.510000,26.549999,26.549999,879516
2017-10-19,26.430000,27.209999,25.889999,26.719999,26.719999,1680347
2017-10-20,26.799999,26.840000,26.200001,26.200001,26.200001,1647256
2017-10-23,26.440001,26.670000,26.160000,26.340000,26.340000,1363320
2017-10-24,26.719999,26.930000,26.150000,26.340000,26.340000,2073125
2017-10-25,26.750000,26.799999,25.150000,26.000000,26.000000,2856488
2017-10-26,25.930000,27.250000,25.510000,27.200001,27.200001,2738911
2017-10-27,27.139999,27.139999,26.120001,26.280001,26.280001,1985193
2017-10-30,26.200001,26.280001,25.370001,25.459999,25.459999,2098237
2017-10-31,25.400000,25.980000,25.360001,25.559999,25.559999,1427110
2017-11-01,25.820000,25.870001,23.530001,24.100000,24.100000,4340518
2017-11-02,24.030001,24.830000,24.030001,24.410000,24.410000,2560338
2017-11-03,24.500000,25.080000,24.459999,24.889999,24.889999,1327875
2017-11-06,25.010000,25.020000,23.690001,24.000000,24.000000,2197966
2017-11-07,24.049999,24.290001,23.490000,24.090000,24.090000,1953342
2017-11-08,24.120001,24.120001,23.549999,23.850000,23.850000,2491185
2017-11-09,23.889999,23.889999,23.320000,23.420000,23.420000,1594276
2017-11-10,23.400000,23.400000,22.320000,22.770000,22.770000,2997032
2017-11-13,22.660000,22.719999,21.760000,22.540001,22.540001,3837550
2017-11-14,22.600000,23.240000,22.450001,23.020000,23.020000,2593181
2017-11-15,23.040001,23.830000,22.629999,23.540001,23.540001,2438959
2017-11-16,23.629999,24.049999,23.530001,24.040001,24.040001,2058693
2017-11-17,24.000000,24.540001,23.799999,24.450001,24.450001,1835449
2017-11-20,24.540001,25.290001,24.129999,24.980000,24.980000,1674961
2017-11-21,25.040001,25.750000,24.920000,25.040001,25.040001,1743945
2017-11-22,25.090000,25.240000,24.965000,25.049999,25.049999,1042129
2017-11-23,25.070000,25.180000,24.730000,24.930000,24.930000,584841
2017-11-24,24.780001,24.790001,24.450001,24.570000,24.570000,720209
2017-11-27,24.500000,24.850000,24.400000,24.490000,24.490000,815482
2017-11-28,24.469999,24.600000,23.770000,24.160000,24.160000,1184351
2017-11-29,24.129999,24.170000,23.570000,23.820000,23.820000,1647684
2017-11-30,23.860001,24.770000,23.750000,24.590000,24.590000,2593361
2017-12-01,24.620001,24.850000,23.799999,24.389999,24.389999,2279235
2017-12-04,24.600000,25.070000,24.469999,24.900000,24.900000,1315681
2017-12-05,24.940001,25.000000,24.370001,24.450001,24.450001,1262027
2017-12-06,24.450001,24.750000,24.129999,24.670000,24.670000,1000695
2017-12-07,24.690001,25.070000,24.400000,24.570000,24.570000,931525
2017-12-08,24.719999,25.799999,24.690001,25.600000,25.600000,2006548
2017-12-11,25.639999,25.639999,25.200001,25.320000,25.320000,1154835
2017-12-12,25.379999,25.959999,25.280001,25.379999,25.379999,1575868
2017-12-13,25.400000,25.910000,25.219999,25.340000,25.340000,1454716
2017-12-14,25.350000,25.420000,24.870001,25.120001,25.120001,1469273
2017-12-15,25.129999,25.719999,25.129999,25.389999,25.389999,1804562
2017-12-18,25.600000,25.879999,25.549999,25.650000,25.650000,1041252
2017-12-19,25.719999,26.000000,25.530001,25.639999,25.639999,2479377
2017-12-20,25.809999,25.820000,25.400000,25.450001,25.450001,904364
2017-12-21,25.459999,25.840000,25.200001,25.360001,25.360001,1066720
2017-12-22,25.430000,25.620001,25.250000,25.559999,25.559999,853181
2017-12-27,25.530001,25.740000,25.450001,25.730000,25.730000,609383
2017-12-28,25.680000,25.940001,25.570000,25.910000,25.910000,778207
2017-12-29,25.850000,25.950001,25.690001,25.879999,25.879999,628534
2018-01-02,25.900000,26.209999,25.799999,26.190001,26.190001,977849
2018-01-03,26.240000,26.240000,25.165001,25.370001,25.370001,2146178
2018-01-04,25.250000,25.360001,24.980000,24.990000,24.990000,1049620
2018-01-05,25.080000,25.090000,24.520000,24.680000,24.680000,1059440
2018-01-08,24.730000,24.730000,23.700001,23.879999,23.879999,1265645
2018-01-09,23.780001,23.850000,22.840000,23.139999,23.139999,2022119
2018-01-10,23.040001,24.160000,23.040001,23.400000,23.400000,1702538
2018-01-11,23.750000,23.910000,23.469999,23.790001,23.790001,1289362
2018-01-12,23.950001,24.510000,23.950001,24.490000,24.490000,1666207
2018-01-15,24.980000,24.980000,23.709999,23.910000,23.910000,843639
2018-01-16,24.180000,24.180000,23.010000,23.070000,23.070000,1098276
2018-01-17,23.219999,23.290001,22.580000,22.910000,22.910000,1283747
2018-01-18,22.950001,23.190001,22.840000,22.959999,22.959999,1978208
2018-01-19,23.030001,23.030001,22.870001,22.930000,22.930000,606305
2018-01-22,22.930000,23.450001,22.920000,23.440001,23.440001,1824304
2018-01-23,23.400000,23.469999,23.110001,23.160000,23.160000,1013093
2018-01-24,23.049999,23.190001,22.570000,22.799999,22.799999,1697337
2018-01-25,22.750000,23.280001,22.530001,23.020000,23.020000,988590
2018-01-26,23.040001,23.080000,22.520000,23.059999,23.059999,1351804
2018-01-29,23.010000,23.480000,22.860001,23.379999,23.379999,988305
2018-01-30,23.260000,24.100000,22.820000,23.910000,23.910000,1791236
2018-01-31,24.030001,24.340000,23.629999,23.910000,23.910000,1706077
2018-02-01,23.730000,23.959999,23.510000,23.850000,23.850000,930811
2018-02-02,23.719999,23.990000,23.420000,23.700001,23.700001,1435692
2018-02-05,23.170000,23.730000,23.010000,23.150000,23.150000,811535
2018-02-06,22.670000,23.690001,22.049999,23.360001,23.360001,1373793
2018-02-07,23.379999,24.330000,23.020000,23.940001,23.940001,1448613
2018-02-08,23.950001,24.600000,23.440001,23.540001,23.540001,1790125
2018-02-09,23.610001,23.760000,22.410000,22.590000,22.590000,1699429
2018-02-12,22.750000,23.400000,22.540001,22.930000,22.930000,1041437
2018-02-13,22.940001,23.150000,22.690001,22.719999,22.719999,931053
2018-02-14,22.590000,23.309999,22.420000,23.250000,23.250000,1374619
2018-02-15,23.500000,24.500000,23.500000,24.330000,24.330000,1584873
2018-02-16,25.040001,25.340000,24.600000,24.639999,24.639999,2783535
2018-02-20,24.709999,25.680000,24.709999,25.389999,25.389999,2262308
2018-02-21,25.490000,26.370001,25.490000,26.250000,26.250000,2046434
2018-02-22,26.250000,26.740000,25.840000,25.990000,25.990000,1307729
2018-02-23,25.969999,26.200001,25.820000,25.990000,25.990000,703926
2018-02-26,26.059999,27.230000,26.059999,26.969999,26.969999,1827324
2018-02-27,27.200001,27.480000,26.870001,27.170000,27.170000,1773994
2018-02-28,27.200001,27.440001,26.930000,27.059999,27.059999,1772588
2018-03-01,26.959999,27.830000,26.870001,27.299999,27.299999,1515139
2018-03-02,27.010000,27.170000,26.680000,26.889999,26.889999,894695
2018-03-05,26.930000,27.129999,26.450001,27.049999,27.049999,771837
2018-03-06,27.010000,27.160000,26.780001,26.809999,26.809999,745406
2018-03-07,26.730000,27.040001,26.660000,26.750000,26.750000,956841
2018-03-08,26.510000,27.150000,26.430000,27.030001,27.030001,972450
2018-03-09,27.049999,27.379999,26.879999,27.160000,27.160000,996819
2018-03-12,27.049999,27.330000,26.940001,27.320000,27.320000,614909
2018-03-13,27.480000,27.930000,27.330000,27.580000,27.580000,1475309
2018-03-14,27.670000,28.180000,27.639999,28.030001,28.030001,1863944
2018-03-15,28.070000,28.459999,27.820000,28.110001,28.110001,893721
2018-03-16,28.200001,28.389999,27.959999,28.010000,28.010000,1057706
