Date,Open,High,Low,Close,Adj Close,Volume
2019-12-04,10.270000,10.300000,10.270000,10.300000,10.300000,102700
2019-12-05,10.300000,10.300000,10.300000,10.300000,10.300000,0
2019-12-06,10.285000,10.300000,10.285000,10.300000,10.300000,1300
2019-12-09,10.300000,10.300000,10.300000,10.300000,10.300000,0
2019-12-10,10.300000,10.300000,10.300000,10.300000,10.300000,0
2019-12-11,10.280000,10.280000,10.270000,10.270000,10.270000,2400
2019-12-12,10.300000,10.300000,10.300000,10.300000,10.300000,4800
2019-12-13,10.300000,10.300000,10.300000,10.300000,10.300000,0
2019-12-16,10.300000,10.310000,10.290000,10.290000,10.290000,6000
2019-12-17,10.310000,10.310000,10.300000,10.300000,10.300000,13800
2019-12-18,10.300000,10.300000,10.300000,10.300000,10.300000,0
2019-12-19,10.300000,10.300000,10.300000,10.300000,10.300000,100000
2019-12-20,10.320000,10.320000,10.320000,10.320000,10.320000,4800
2019-12-23,10.310000,10.320000,10.310000,10.320000,10.320000,131200
2019-12-24,10.320000,10.320000,10.320000,10.320000,10.320000,0
2019-12-26,10.300000,10.320000,10.300000,10.320000,10.320000,7800
2019-12-27,10.320000,10.320000,10.320000,10.320000,10.320000,5100
2019-12-30,10.330000,10.330000,10.300000,10.300000,10.300000,34600
2019-12-31,10.317000,10.320000,10.315000,10.320000,10.320000,6500
2020-01-02,10.310000,10.320000,10.310000,10.320000,10.320000,60300
2020-01-03,10.300000,10.300000,10.300000,10.300000,10.300000,15000
2020-01-06,10.325000,10.350000,10.320000,10.320000,10.320000,68700
2020-01-07,10.440000,10.440000,10.330000,10.330000,10.330000,42900
2020-01-08,10.330000,10.350000,10.300000,10.342000,10.342000,1247500
2020-01-09,null,null,null,null,null,null
2020-01-10,null,null,null,null,null,null
2020-01-13,null,null,null,null,null,null
2020-01-14,null,null,null,null,null,null
2020-01-15,null,null,null,null,null,null
2020-01-16,null,null,null,null,null,null
2020-01-17,null,null,null,null,null,null
2020-01-21,null,null,null,null,null,null
2020-01-22,null,null,null,null,null,null
2020-01-23,null,null,null,null,null,null
2020-01-24,null,null,null,null,null,null
2020-01-27,null,null,null,null,null,null
2020-01-28,null,null,null,null,null,null
2020-01-29,null,null,null,null,null,null
2020-01-30,null,null,null,null,null,null
2020-01-31,null,null,null,null,null,null
2020-02-03,null,null,null,null,null,null
2020-02-04,null,null,null,null,null,null
2020-02-05,null,null,null,null,null,null
2020-02-06,null,null,null,null,null,null
2020-02-07,null,null,null,null,null,null
2020-02-10,null,null,null,null,null,null
2020-02-11,null,null,null,null,null,null
2020-02-12,null,null,null,null,null,null
2020-02-13,null,null,null,null,null,null
2020-02-14,null,null,null,null,null,null
2020-02-18,null,null,null,null,null,null
2020-02-19,null,null,null,null,null,null
2020-02-20,null,null,null,null,null,null
2020-02-21,null,null,null,null,null,null
2020-02-24,null,null,null,null,null,null
2020-02-25,null,null,null,null,null,null
2020-02-26,null,null,null,null,null,null
2020-02-27,null,null,null,null,null,null
2020-02-28,null,null,null,null,null,null
2020-03-02,null,null,null,null,null,null
2020-03-03,null,null,null,null,null,null
2020-03-04,null,null,null,null,null,null
2020-03-05,null,null,null,null,null,null
2020-03-06,null,null,null,null,null,null
2020-03-09,null,null,null,null,null,null
2020-03-10,null,null,null,null,null,null
2020-03-11,null,null,null,null,null,null
2020-03-12,null,null,null,null,null,null
2020-03-13,null,null,null,null,null,null
2020-03-16,null,null,null,null,null,null
2020-03-17,null,null,null,null,null,null
2020-03-18,null,null,null,null,null,null
2020-03-19,null,null,null,null,null,null
2020-03-20,null,null,null,null,null,null
2020-03-23,null,null,null,null,null,null
